,name,volume,cost,location of manufacture,star rating,number of reviews,core features,main ingredients
133,Lemon & Herb Couscous,5 oz,4.5,International,4.8,13,"'o  organic', 'ng non gmo', 'af additive free'","organic couscous, lemon oil,a fragrant blend of herbs"
134,Rice Pilaf,6 oz,3.0,International,4.6,19,"'o  organic', 'ng non gmo', 'af additive free'","organic long-grain white rice, durum wheat orzo pasta,a blend of spices"
135,Garlic & Herb Rice Pilaf,6 oz,3.0,International,4.3,16,"'o  organic', 'ng non gmo', 'af additive free'","organic long-grain white rice, durum wheat orzo pasta,a blend of spices"
136,Spanish Rice Pilaf,6.1 oz,3.0,International,4.7,14,"'o  organic', 'ng non gmo'","organic long-grain white rice, durum wheat orzo pasta,a blend of spices"
137,Gluten-Free Fusilli Pasta,8 oz,5.0,International,4.4,14,"'vf vegan friendly', 'gf gluten free', 'ko  kosher'",organic red lentil flour
138,Macaroni & Cheese,12 oz,5.25,Domestic,4.5,11,"'o  organic', 'ng non gmo'","Organic durum wheat semolina, organic cheddar cheese, organic butter"
139,Tuna Fish,6 ct,16.0,International,4.9,31,"'gf gluten free', 'af additive free', 'ko  kosher', 'ds dolphin safe', 'sc sustainably caught'","skipjack tuna (Katsuwonus pelamis),sea salt"
140,Salmon,6 ct,24.0,International,5.0,7,"'gf gluten free', 'af additive free', 'ds dolphin safe', 'sc sustainably caught'",pink salmon
141,Whole Kernel Corn,15.25 oz,1.75,Domestic,4.7,14,"'vf vegan friendly', 'gf gluten free', 'pf preservative free'","whole kernel corn, salt,water"
142,Vegetarian Chili Beans,15.5 oz,1.75,Domestic,4.8,11,"'vf vegan friendly', 'gf gluten free'","organic pinto beans, organic tomato paste, water, sea salt, organic chili powder blend"
143,Pinto Beans,15.5 oz,1.75,Domestic,5.0,9,"'vf vegan friendly', 'gf gluten free', 'pf preservative free'","', 'What’s in it:pinto beans, water,sea salt"
144,Kidney Beans,15.5 oz,1.75,Domestic,4.9,9,"'vf vegan friendly', 'gf gluten free', 'pf preservative free'","kidney beans, water,sea salt"
145,Whole Peeled Tomatoes,14.5 oz,2.0,International,4.7,23,"'vf vegan friendly', 'gf gluten free', 'an all natural', 'ng non gmo'","organic whole peeled tomatoes, organic tomato juice,citric acid to preserve freshness"
146,Dried Tortellini Soup Mix,8.25 oz,7.0,Domestic,4.6,51,"'an all natural', 'pf preservative free'","tortellini, breadcrumbs, cheese (provolone & gorgonzola, ricotta), herbs, celery, bell pepper, black pepper, carrot, garlic,herbs"
147,Corn Chowder Dried Soup Mix,7.25 oz,7.0,Domestic,4.5,32,"'an all natural', 'pf preservative free'","Dehydrated potato cubes, potato flakes, corn, chicken base, onion, potato flour, carrot, celery, garlic, curry, herbs & spices"
148,Dried Split Pea Soup Mix,16 oz,7.0,Domestic,4.6,37,"'vf vegan friendly', 'gf gluten free', 'an all natural', 'pf preservative free'","split peas, dehydrated celery, dehydrated carrots, onion, herbs,spices"
149,Tomato Soup,3 ct,6.9,International,4.6,34,"'o  organic', 'vf vegan friendly', 'pf preservative free'","water, carrots, tomatoes, tomato paste, canola oil, spices, rice flour, sea salt,sugar"
150,Mushroom Soup,3 ct,6.9,International,4.7,36,"'o  organic', 'vf vegan friendly', 'pf preservative free'","organic mushrooms, water, coconut milk, rice flour, sea salt,spices"
151,Carrot Soup,3 ct,6.9,International,4.4,24,"'o  organic', 'vf vegan friendly', 'pf preservative free'","100% organic ingredients–including carrots, water, coconut milk, rice flour, sea salt,spices"
152,Vegetable Broth Concentrate,12 oz,12.0,Domestic,4.5,24,"'o  organic', 'ng non gmo', 'af additive free'","100% pure, organic vegetable broth"
153,Chicken Bone Broth Concentrate,12 oz,12.0,Domestic,4.6,31,"'o  organic', 'ng non gmo', 'af additive free'",100% organic chicken broth
154,Whole Bean Coffee,12 oz,6.5,International,4.5,69,"'vf vegan friendly', 'gf gluten free', 'an all natural', 'ng non gmo', 'ft fair trade'","our special blend of arabica beans from Brazil, Colombia,Central America'"
155,Ground Coffee,12 oz,6.5,International,4.6,59,"'vf vegan friendly', 'gf gluten free', 'an all natural', 'ng non gmo', 'ft fair trade'","our special blend of arabica beans from Brazil, Colombia,Central America'"
156,Chamomile & Spearmint Tea,20 ct,3.5,Domestic,4.4,30,"'vf vegan friendly', 'gf gluten free', 'an all natural', 'ng non gmo'"," organic chamomile, organic spearmint,organic lemongrass"
157,Green Tea,20 ct,3.5,Domestic,4.4,21,"'vf vegan friendly', 'gf gluten free', 'an all natural', 'ng non gmo'",100% organic green tea
158,English Breakfast Tea,20 ct,3.5,Domestic,4.5,26,"'vf vegan friendly', 'gf gluten free', 'an all natural', 'ng non gmo', 'af additive free'",100% organic black tea
159,Organic Cane Sugar,32 oz,5.5,Domestic,4.8,8,"'ng non gmo', 'ko  kosher'","100% pure, organic cane sugar'"
160,Organic Brown Sugar,24 oz,5.5,Domestic,4.3,11,"'ng non gmo', 'ko  kosher'","100% pure, organic brown sugar'"
161,Agave Syrup,11.75 fl oz,3.5,International,4.9,31,"'vf vegan friendly', 'an all natural', 'ng non gmo'",100% pure organic agave syrup'
162,Maple Syrup,12 fl oz,9.25,Domestic,4.7,21,"'vf vegan friendly', 'gf gluten free'",organic maple syrup
